HaloId,GrpId,Timestep,NowGroup,HaloMass,TotalParticles,TotalDarkParticles,MassRatio,Prog
65907,26,13,8,7067839810,10224,5392,2.075664789,0
20716,65,13,8,3183102160,4843,2354,-1,0
30879,15,14,8,6930315975,8993,5473,-1,0
16942,17,14,8,5933586274,7598,4708,-1,1
75794,9,1,9,96650753696,177340,71386,-1,1
49120,9,2,9,95431725344,174650,70454,-1,1
80091,9,3,9,93333823678,164891,69120,-1,1
45507,9,4,9,78601283335,137651,58214,10.22793002,1
19788,87,4,9,7684964915,11661,5729,10.22793002,0
64908,14,5,9,66540053320,117163,49126,-1,1
55443,65,5,9,10619083699,15095,8037,-1,0
59622,12,6,9,60839921777,105896,44898,-1,1
65977,69,6,9,9681742296,13800,7321,-1,0
80206,11,7,9,46236493921,78339,34189,-1,1
72522,100,7,9,5340995589,7644,4035,-1,0
63219,12,8,9,41764756690,69576,30806,-1,1
66915,13,9,9,38067018774,61310,28340,-1,1
43959,12,10,9,30569141031,48351,22625,-1,1
26336,18,11,9,17700354652,28763,12958,2.07339426,1
38447,43,11,9,8536897682,13891,6256,2.07339426,0
81206,20,12,9,16700766976,26314,12342,-1,1
16557,29,12,9,11265326986,16782,8479,-1,0
35430,21,13,9,8181490740,12025,6166,-1,1
37757,50,13,9,4280024573,6230,3251,-1,0
10485,21,14,9,4716210350,6301,3673,-1,1
278,10,1,10,60762320941,180213,43837,-1,1
61529,10,2,10,60162089342,177877,43380,-1,1
52720,11,3,10,55991252492,161766,40202,-1,1
28670,10,4,10,53186499864,147861,38146,-1,1
13078,10,5,10,51465594297,134264,36952,-1,1
38803,10,6,10,49955223676,123838,35917,-1,1
48683,10,7,10,46424403729,102627,33431,-1,1
18321,10,8,10,44979581877,90989,32554,-1,1
58353,10,9,10,41129744317,77764,29825,-1,1
40258,9,10,10,37102822721,66683,26976,-1,1
11329,11,1,11,99552414129,179839,72389,-1,1
16605,11,2,11,98565728379,177477,71705,-1,1
7128,10,3,11,94254736123,164888,68566,-1,1
73862,15,4,11,52767393914,90589,38014,4.495805644,1
16682,48,4,11,11737027376,26662,7900,4.495805644,0
43354,109,4,11,3752027491,8442,2534,-1,0
10500,13,5,11,56030749395,87870,41673,3.082598569,0
22004,38,5,11,18176466424,36457,12532,3.082598569,1
27474,97,5,11,4764028368,9981,3274,-1,0
38476,17,6,11,48367648601,77402,35570,-1,0
65780,30,6,11,21614564514,40501,15136,-1,1
50642,111,6,11,4079035469,7717,2934,-1,0
55233,27,7,11,24707011036,40284,18120,2.507304479,0
7689,29,7,11,22087627218,37890,15877,-1,1
60788,62,7,11,9854013040,17391,6883,2.507304479,0
33253,32,8,11,19873895578,32836,14441,-1,1
27008,33,8,11,19719886388,32373,14296,-1,0
29908,53,8,11,12018688638,18697,8846,-1,0
34360,29,9,11,19268687670,29910,14279,-1,1
4,31,9,11,18858927060,29066,13990,-1,0
29874,43,9,11,13347329075,19281,10083,-1,0
14468,25,10,11,19637586103,28597,14866,-1,1
70502,29,10,11,17341100394,25252,13120,-1,0
1594,55,10,11,8604809837,11395,6700,-1,0
62661,24,11,11,17552038860,24349,13509,-1,1
41850,29,11,11,13965906515,19922,10625,-1,0
35905,77,11,11,4331324372,5691,3371,-1,0
32524,24,12,11,13193210564,17779,10238,-1,1
47845,30,12,11,11621135400,16317,8870,-1,0
79314,12,1,12,70035613025,173310,50879,-1,1
44280,12,2,12,69249087762,169931,50333,-1,1
79858,15,3,12,66612121015,153134,48677,-1,1
24878,14,4,12,62905900847,136798,46024,-1,1
27741,15,5,12,58373785812,120685,42650,-1,1
