NowGroup,NowHalo,CurrentTime,CurrentGrp,CurrentHalo,NextGrp,NextHalo,SharedParticleCount,SharedDarkParticleCount
200,12926,2,198,34982,200,14579,3369,2513
126,13569,1,126,13569,127,51132,6437,3793
126,13569,2,127,51132,133,31511,5980,3520
126,13569,3,133,31511,131,19337,6031,3620
126,13569,4,131,19337,121,25653,5902,3724
126,13569,5,121,25653,124,77450,5608,3583
126,13569,6,124,77450,140,80081,4609,2973
120,14287,1,120,14287,121,55080,6544,3979
120,14287,2,121,55080,107,577,6349,3872
120,14287,3,107,577,112,44672,6730,4183
120,14287,4,112,44672,114,75114,5623,3561
120,14287,5,114,75114,133,82249,4880,3080
17,14330,1,17,14330,17,4233,99522,45702
17,14330,2,17,4233,19,32768,86819,41361
17,14330,3,19,32768,88,2489,11055,5138
17,14330,3,19,32768,26,10527,51339,22585
17,14330,4,88,2489,63,81044,9945,5053
17,14330,4,26,10527,34,79113,39985,16755
17,14330,5,34,79113,32,26373,37115,15606
17,14330,5,63,81044,55,26387,15310,8862
17,14330,6,32,26373,31,69547,30969,13782
17,14330,6,55,26387,69,37165,12108,7338
17,14330,7,69,37165,79,30275,10193,6194
17,14330,7,31,69547,35,28737,30003,14394
17,14330,8,35,28737,32,13040,25608,12139
17,14330,8,79,30275,101,65231,5851,3667
17,14330,9,32,13040,27,22737,23725,12169
17,14330,9,101,65231,138,70991,4154,2622
17,14330,10,27,22737,27,63673,19690,10761
17,14330,11,27,63673,34,31016,15071,8322
17,14330,12,34,31016,30,2714,6912,3760
17,14330,13,30,2714,20,1356,4926,3089
96,15718,1,96,15718,99,75294,9157,5637
96,15718,2,99,75294,104,19185,8435,5178
96,15718,3,104,19185,106,36989,8185,4927
96,15718,4,106,36989,101,28070,8069,4792
96,15718,5,101,28070,101,79453,8067,4746
96,15718,6,101,79453,97,72223,7335,4315
96,15718,7,97,72223,94,41121,7447,4592
96,15718,8,94,41121,97,16677,6160,3918
96,15718,9,97,16677,101,2938,4212,2779
90,16422,1,90,16422,90,48731,10140,6834
90,16422,2,90,48731,87,7405,9560,6451
90,16422,3,87,7405,81,14146,10230,6979
90,16422,4,81,14146,82,65900,10564,7435
90,16422,5,82,65900,89,52827,9396,6585
90,16422,6,89,52827,109,5873,6854,4816
90,16422,7,109,5873,144,36510,4747,3194
90,16422,8,144,36510,138,10594,3994,2773
90,16422,9,138,10594,128,14126,4043,2717
90,16422,10,128,14126,121,19847,4071,2879
7,16482,1,7,16482,7,14132,322493,96366
7,16482,2,7,14132,7,7616,292569,90279
7,16482,3,7,7616,7,33204,271165,88745
7,16482,4,7,33204,6,68219,254020,89157
7,16482,5,6,68219,6,53498,239626,89983
7,16482,6,6,53498,5,79695,198590,80775
7,16482,7,5,79695,6,23561,94253,48172
7,16482,7,5,79695,15,64165,63264,14968
7,16482,8,6,23561,11,15753,55286,25354
7,16482,8,15,64165,8,15,57756,14734
7,16482,9,8,15,8,50432,68600,25917
7,16482,9,11,15753,15,4548,40855,18351
7,16482,10,15,4548,12,13921,33532,15340
7,16482,10,8,50432,8,25143,62859,26940
7,16482,11,12,13921,12,6605,29465,14075
7,16482,11,8,25143,8,56980,50626,21976
7,16482,12,12,6605,20,50977,12238,7039
7,16482,12,8,56980,9,57944,27638,12915
7,16482,13,20,50977,25,61839,4982,3150
7,16482,13,9,57944,8,42882,18210,10004
7,16482,14,8,42882,8,10530,11228,6572
7,16482,15,8,10530,7,59549,6908,4359
113,16565,1,113,16565,114,66647,7406,5107
113,16565,2,114,66647,116,8269,6941,4784
113,16565,3,116,8269,122,71848,6695,4627
113,16565,4,122,71848,117,66359,6579,4587
113,16565,5,117,66359,123,36313,6105,4065
113,16565,6,123,36313,135,6050,5047,3358
113,16565,7,135,6050,135,35377,5056,3250
113,16565,8,135,35377,133,77120,4395,2821
113,16565,9,133,77120,122,41092,4179,2781
113,16565,10,122,41092,115,14290,3977,2710
43,17460,1,43,17460,43,20506,32789,15945
43,17460,2,43,20506,46,28660,29305,14432
43,17460,3,46,28660,47,75283,27450,13930
43,17460,4,47,75283,49,20073,25440,13343
43,17460,5,49,20073,53,80019,20903,10957
43,17460,6,53,80019,67,13098,12359,6561
43,17460,7,67,13098,75,77645,11016,5720
43,17460,8,75,77645,74,15634,9936,5270
43,17460,9,74,15634,69,72070,9412,5122
43,17460,10,69,72070,58,61488,9087,5035
43,17460,11,58,61488,54,59251,8808,5067
