nowGroup,grpID,timeStep,mass,totalParticles,HI,prog,massRatio
31077,15166,7,4068875.259,12,0,0,-1
31077,30323,3,339072.9383,1,0,0,-1
31077,15318,6,5425167.012,16,0,0,-1
31077,14917,7,2373510.568,7,0,0,-1
31077,30455,3,6103312.889,18,0,0,-1
31077,30045,4,5425167.012,16,0,0,-1
31077,42044,5,3729802.321,11,0,0,-1
31077,29979,4,3051656.444,9,0,0,-1
31077,29394,2,3.29E+09,10045,124.4445739,0,-1
31077,30372,3,339072.9383,1,0,0,-1
31077,53745,5,2373510.568,7,0,0,-1
31077,29382,2,1.15E+07,34,0,0,-1
31077,42106,5,6.11E+07,185,1.202918228,0,-1
31077,30201,4,3051656.444,9,0,0,-1
31077,29320,2,5466594.356,17,0,0,-1
31077,29996,4,5764239.951,17,0,0,-1
31077,30422,3,4407948.198,13,0,0,-1
31077,15189,6,5131472.112,16,0,0,-1
31077,42268,5,339072.9383,1,0,0,-1
31077,30072,4,8815896.395,26,0,0,-1
31077,33808,4,2670688.435,9,0.002033774,0,-1
31077,15078,6,8137750.519,24,0,0,-1
31077,20637,6,2712583.506,8,0,0,-1
31077,29493,2,2373510.568,7,0,0,-1
31077,30430,3,3729802.321,11,0,0,-1
31077,14838,7,3051656.444,9,0,0,-1
31077,42064,5,4407948.198,13,0,0,-1
31077,30212,3,4068875.259,12,0,0,-1
31077,15093,7,4111362.361,13,0,0,-1
31077,18470,6,1992542.545,7,0.0023153,0,-1
31077,42214,5,6781458.766,20,0,0,-1
31077,29899,4,1.71E+07,53,0.061318694,0,-1
31077,15032,6,3390729.383,10,0,0,-1
31077,14982,7,3390729.383,10,0,0,-1
31077,30260,3,1017218.815,3,0,0,-1
31077,42074,5,2373510.568,7,0,0,-1
31077,14849,7,4068875.259,12,0,0,-1
31077,14886,7,678145.8766,2,0,0,-1
31077,15122,6,3092910.58,10,0,0,-1
31077,15271,6,3051656.444,9,0,0,-1
31077,29542,2,678145.8766,2,0,0,-1
31077,29789,4,8137750.519,24,0,0,-1
31077,18347,7,339072.9383,1,0,0,-1
31077,19333,6,3.11E+07,94,0.004907687,0,-1
31077,41989,5,5425167.012,16,0,0,-1
31077,15436,6,2.10E+09,6486,81.24701352,0,-1
31077,15145,7,7120531.704,21,0,0,-1
31077,15033,6,2712583.506,8,0,0,-1
31077,42191,5,1.43E+07,43,0,0,-1
31077,15064,7,1017218.815,3,0,0,-1
31077,29752,4,678145.8766,2,0,0,-1
31077,30413,3,4068875.259,12,0,0,-1
31077,15308,7,2712583.506,8,0,0,-1
31077,42050,5,1.93E+07,61,0.034128372,0,-1
31077,15072,7,339072.9383,1,0,0,-1
31077,15042,6,3729802.321,11,0,0,-1
31077,29346,2,4747021.136,14,0,0,-1
31077,18348,7,2458604.819,8,6.98E-04,0,-1
31077,14955,7,1695364.691,5,0,0,-1
31077,30075,4,678145.8766,2,0,0,-1
31077,29988,4,2034437.63,6,0,0,-1
31077,15426,6,2034437.63,6,0,0,-1
31077,15030,6,2034437.63,6,0,0,-1
31077,29498,2,1356291.753,4,0,0,-1
31077,46883,5,6.36E+07,192,0.028475409,0,-1
31077,26162,6,4068875.259,12,0,0,-1
31077,30035,4,6781458.766,20,0,0,-1
31077,30213,3,3.33E+07,100,0,0,-1
31077,15226,6,2.95E+07,88,0,0,-1
31077,15131,6,9.31E+08,2837,5.323168011,0,-1
31077,19202,6,3051656.444,9,0,0,-1
31077,15330,6,2373510.568,7,0,0,-1
31077,29832,4,2.71E+07,80,0,0,-1
31077,29516,2,339072.9383,1,0,0,-1
31077,29830,4,6781458.766,20,0,0,-1
31077,42101,5,2034437.63,6,0,0,-1
31077,15276,6,5.62E+07,171,0.615060281,0,-1
